Amount,Cds Code,$ in 000's,District Name,District Code,# Enrolled,Ethnic,Function1 (copy),Function,Function Code,Grads,# G12 Enrollment,Number of Records,# UC Grads,Year1
251396.52,7617390000000,251.39652,Martinez Unified,61739,7,1,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,41,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,9,8,1,7,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,41,2,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,9,8,1,7,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,41,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,9,8,1,7,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,41,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,9,8,1,7,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,41,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,9,8,1,7,1213
251396.52,7617390000000,251.39652,Martinez Unified,61739,41,2,Accounts Receivable,Accounts Receivable,9200,9,8,1,7,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,5,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,1,1,0,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,5,3,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,1,1,1,0,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,5,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,1,1,1,0,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,5,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,1,1,1,0,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,5,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,1,1,0,1213
251396.52,7617390000000,251.39652,Martinez Unified,61739,5,3,Accounts Receivable,Accounts Receivable,9200,1,1,1,0,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,31,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,7,7,1,4,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,31,4,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,7,7,1,4,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,31,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,7,7,1,4,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,31,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,7,7,1,4,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,31,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,7,7,1,4,1213
251396.52,7617390000000,251.39652,Martinez Unified,61739,31,4,Accounts Receivable,Accounts Receivable,9200,7,7,1,4,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,352,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,86,96,1,29,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,352,5,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,86,96,1,29,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,352,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,86,96,1,29,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,352,5,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,86,96,1,29,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,352,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,86,96,1,29,1213
251396.52,7617390000000,251.39652,Martinez Unified,61739,352,5,Accounts Receivable,Accounts Receivable,9200,86,96,1,29,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,40,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,10,12,1,2,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,40,6,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,10,12,1,2,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,40,6,Books and Other Reference Materials,Books and Other Reference Materials,4200,10,12,1,2,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,40,6,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,10,12,1,2,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,40,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,10,12,1,2,1213
251396.52,7617390000000,251.39652,Martinez Unified,61739,40,6,Accounts Receivable,Accounts Receivable,9200,10,12,1,2,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,791,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,192,218,1,84,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,791,7,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,192,218,1,84,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,791,7,Books and Other Reference Materials,Books and Other Reference Materials,4200,192,218,1,84,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,791,7,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,192,218,1,84,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,791,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,192,218,1,84,1213
251396.52,7617390000000,251.39652,Martinez Unified,61739,791,7,Accounts Receivable,Accounts Receivable,9200,192,218,1,84,1213
555793.78,7617390000000,555.79378,Martinez Unified,61739,148,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,36,39,1,15,1213
1053.88,7617390000000,1.05388,Martinez Unified,61739,148,9,Approved Textbooks and Core Curricula Materials,Approved Textbooks and Core Curricula Materials,4100,36,39,1,15,1213
125799.55,7617390000000,125.79955,Martinez Unified,61739,148,9,Books and Other Reference Materials,Books and Other Reference Materials,4200,36,39,1,15,1213
40879.83,7617390000000,40.87983,Martinez Unified,61739,148,9,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,36,39,1,15,1213
1559331.99,7617390000000,1559.33199,Martinez Unified,61739,148,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,36,39,1,15,1213
251396.52,7617390000000,251.39652,Martinez Unified,61739,148,9,Accounts Receivable,Accounts Receivable,9200,36,39,1,15,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,203,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,1,15,1,0,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,203,0,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,1,15,1,0,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,203,0,Accounts Receivable,Accounts Receivable,9200,1,15,1,0,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,51,1,Classified Instructional Salaries,Classified Instructional Salaries,2100,11,12,1,1,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,51,1,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,11,12,1,1,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,51,1,Accounts Receivable,Accounts Receivable,9200,11,12,1,1,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,742,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,161,166,1,86,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,742,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,161,166,1,86,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,742,2,Accounts Receivable,Accounts Receivable,9200,161,166,1,86,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,122,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,31,35,1,7,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,122,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,31,35,1,7,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,122,3,Accounts Receivable,Accounts Receivable,9200,31,35,1,7,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,513,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,92,103,1,34,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,513,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,92,103,1,34,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,513,4,Accounts Receivable,Accounts Receivable,9200,92,103,1,34,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,3487,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,638,787,1,100,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,3487,5,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,638,787,1,100,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,3487,5,Accounts Receivable,Accounts Receivable,9200,638,787,1,100,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,517,6,Classified Instructional Salaries,Classified Instructional Salaries,2100,104,136,1,17,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,517,6,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,104,136,1,17,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,517,6,Accounts Receivable,Accounts Receivable,9200,104,136,1,17,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,3646,7,Classified Instructional Salaries,Classified Instructional Salaries,2100,899,970,1,336,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,3646,7,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,899,970,1,336,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,3646,7,Accounts Receivable,Accounts Receivable,9200,899,970,1,336,1213
20641574.61,7617540000000,20641.57461,Mt. Diablo Unified,61754,139,9,Classified Instructional Salaries,Classified Instructional Salaries,2100,23,27,1,6,1213
10896426.46,7617540000000,10896.42646,Mt. Diablo Unified,61754,139,9,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,23,27,1,6,1213
366254.61,7617540000000,366.25461,Mt. Diablo Unified,61754,139,9,Accounts Receivable,Accounts Receivable,9200,23,27,1,6,1213
1250436.65,7617880000000,1250.43665,Pittsburg Unified,61788,14,0,Classified Instructional Salaries,Classified Instructional Salaries,2100,3,1,1,0,1213
224760.01,7617880000000,224.76001,Pittsburg Unified,61788,14,0,Books and Other Reference Materials,Books and Other Reference Materials,4200,3,1,1,0,1213
6516,7617880000000,6.516,Pittsburg Unified,61788,14,0,Communications,Communications,5900,3,1,1,0,1213
292311.46,7617880000000,292.31146,Pittsburg Unified,61788,14,0,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,3,1,1,0,1213
7457111.9,7617880000000,7457.1119,Pittsburg Unified,61788,14,0,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,3,1,1,0,1213
475021.23,7617880000000,475.02123,Pittsburg Unified,61788,14,0,Accounts Receivable,Accounts Receivable,9200,3,1,1,0,1213
1250436.65,7617880000000,1250.43665,Pittsburg Unified,61788,155,2,Classified Instructional Salaries,Classified Instructional Salaries,2100,25,26,1,12,1213
224760.01,7617880000000,224.76001,Pittsburg Unified,61788,155,2,Books and Other Reference Materials,Books and Other Reference Materials,4200,25,26,1,12,1213
6516,7617880000000,6.516,Pittsburg Unified,61788,155,2,Communications,Communications,5900,25,26,1,12,1213
292311.46,7617880000000,292.31146,Pittsburg Unified,61788,155,2,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,25,26,1,12,1213
7457111.9,7617880000000,7457.1119,Pittsburg Unified,61788,155,2,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,25,26,1,12,1213
475021.23,7617880000000,475.02123,Pittsburg Unified,61788,155,2,Accounts Receivable,Accounts Receivable,9200,25,26,1,12,1213
1250436.65,7617880000000,1250.43665,Pittsburg Unified,61788,61,3,Classified Instructional Salaries,Classified Instructional Salaries,2100,9,9,1,4,1213
224760.01,7617880000000,224.76001,Pittsburg Unified,61788,61,3,Books and Other Reference Materials,Books and Other Reference Materials,4200,9,9,1,4,1213
6516,7617880000000,6.516,Pittsburg Unified,61788,61,3,Communications,Communications,5900,9,9,1,4,1213
292311.46,7617880000000,292.31146,Pittsburg Unified,61788,61,3,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,9,9,1,4,1213
7457111.9,7617880000000,7457.1119,Pittsburg Unified,61788,61,3,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,9,9,1,4,1213
475021.23,7617880000000,475.02123,Pittsburg Unified,61788,61,3,Accounts Receivable,Accounts Receivable,9200,9,9,1,4,1213
1250436.65,7617880000000,1250.43665,Pittsburg Unified,61788,260,4,Classified Instructional Salaries,Classified Instructional Salaries,2100,38,39,1,19,1213
224760.01,7617880000000,224.76001,Pittsburg Unified,61788,260,4,Books and Other Reference Materials,Books and Other Reference Materials,4200,38,39,1,19,1213
6516,7617880000000,6.516,Pittsburg Unified,61788,260,4,Communications,Communications,5900,38,39,1,19,1213
292311.46,7617880000000,292.31146,Pittsburg Unified,61788,260,4,Tuition for Instruction Under Interdistrict Attendance Agreements,Tuition for Instruction Under Interdistrict Attendance Agreements,7110,38,39,1,19,1213
7457111.9,7617880000000,7457.1119,Pittsburg Unified,61788,260,4,Maintenance and Operations (Public Law 81-874),Maintenance and Operations (Public Law 81-874),8110,38,39,1,19,1213
475021.23,7617880000000,475.02123,Pittsburg Unified,61788,260,4,Accounts Receivable,Accounts Receivable,9200,38,39,1,19,1213
1250436.65,7617880000000,1250.43665,Pittsburg Unified,61788,2538,5,Classified Instructional Salaries,Classified Instructional Salaries,2100,304,341,1,73,1213
224760.01,7617880000000,224.76001,Pittsburg Unified,61788,2538,5,Books and Other Reference Materials,Books and Other Reference Materials,4200,304,341,1,73,1213
